,9,10,11,12
2019-01-01 00:00:00+01:00,48.77,48.77,48.77,60.0
2019-01-01 01:00:00+01:00,49.25,49.25,49.25,60.12
2019-01-01 02:00:00+01:00,49.17,49.17,49.17,55.76
2019-01-01 03:00:00+01:00,48.37,48.37,48.37,46.23
2019-01-01 04:00:00+01:00,47.19,47.19,47.19,44.1
2019-01-01 05:00:00+01:00,47.37,47.37,47.37,44.41
2019-01-01 06:00:00+01:00,48.16,48.16,48.16,46.03
2019-01-01 07:00:00+01:00,49.09,49.09,49.09,51.0
2019-01-01 08:00:00+01:00,47.63,47.63,47.63,39.0
2019-01-01 09:00:00+01:00,47.99,47.99,47.99,44.17
2019-01-01 10:00:00+01:00,49.2,49.2,49.2,51.3
2019-01-01 11:00:00+01:00,49.39,49.39,49.39,57.94
2019-01-01 12:00:00+01:00,49.2,49.2,49.2,54.09
2019-01-01 13:00:00+01:00,49.13,49.13,49.13,57.95
2019-01-01 14:00:00+01:00,48.33,48.33,48.33,65.85
2019-01-01 15:00:00+01:00,48.45,48.45,48.45,70.0
2019-01-01 16:00:00+01:00,48.98,48.98,48.98,48.9
2019-01-01 17:00:00+01:00,49.45,49.45,49.45,69.93
2019-01-01 18:00:00+01:00,48.89,48.89,48.89,84.84
2019-01-01 19:00:00+01:00,48.91,48.91,48.91,70.57
2019-01-01 20:00:00+01:00,49.31,49.31,49.31,69.0
2019-01-01 21:00:00+01:00,49.1,49.1,49.1,60.43
2019-01-01 22:00:00+01:00,49.42,49.42,49.42,53.89
2019-01-01 23:00:00+01:00,49.12,49.12,49.12,50.44
2019-01-02 00:00:00+01:00,49.16,49.16,49.16,49.01
2019-01-02 01:00:00+01:00,48.14,48.14,48.14,51.96
2019-01-02 02:00:00+01:00,48.14,48.14,48.14,52.45
2019-01-02 03:00:00+01:00,47.24,47.24,47.24,49.92
2019-01-02 04:00:00+01:00,47.53,47.53,47.53,48.53
2019-01-02 05:00:00+01:00,47.98,47.98,47.98,47.99
2019-01-02 06:00:00+01:00,49.44,49.44,49.44,50.05
2019-01-02 07:00:00+01:00,50.11,50.11,50.11,62.82
2019-01-02 08:00:00+01:00,50.74,50.74,50.74,50.04
2019-01-02 09:00:00+01:00,50.74,50.74,50.74,53.0
2019-01-02 10:00:00+01:00,50.69,50.69,50.69,56.37
2019-01-02 11:00:00+01:00,50.27,50.27,50.27,58.71
2019-01-02 12:00:00+01:00,49.94,49.94,49.94,57.95
2019-01-02 13:00:00+01:00,50.11,50.11,50.11,63.44
2019-01-02 14:00:00+01:00,50.93,50.93,50.93,62.94
2019-01-02 15:00:00+01:00,52.38,52.38,52.38,63.93
2019-01-02 16:00:00+01:00,54.67,54.67,54.67,65.0
2019-01-02 17:00:00+01:00,55.58,55.58,55.58,81.1
2019-01-02 18:00:00+01:00,55.39,55.39,55.39,109.95
2019-01-02 19:00:00+01:00,54.9,54.9,54.9,85.0
2019-01-02 20:00:00+01:00,53.86,53.86,53.86,79.94
2019-01-02 21:00:00+01:00,52.71,52.71,52.71,66.0
2019-01-02 22:00:00+01:00,52.09,52.09,52.09,55.93
2019-01-02 23:00:00+01:00,50.76,50.76,50.76,50.11
2019-01-03 00:00:00+01:00,50.03,50.03,50.03,55.0
2019-01-03 01:00:00+01:00,48.89,48.89,48.89,54.99
2019-01-03 02:00:00+01:00,48.31,48.31,48.31,55.0
2019-01-03 03:00:00+01:00,48.4,48.4,48.4,54.92
2019-01-03 04:00:00+01:00,48.79,48.79,48.79,51.08
2019-01-03 05:00:00+01:00,49.61,49.61,49.61,51.0
2019-01-03 06:00:00+01:00,51.17,51.17,51.17,51.91
2019-01-03 07:00:00+01:00,53.91,53.91,53.91,61.4
2019-01-03 08:00:00+01:00,58.86,58.86,58.86,62.74
2019-01-03 09:00:00+01:00,59.14,59.14,59.14,70.2
2019-01-03 10:00:00+01:00,58.19,58.19,58.19,74.0
2019-01-03 11:00:00+01:00,61.47,61.47,61.47,69.0
2019-01-03 12:00:00+01:00,62.0,62.0,62.0,70.0
2019-01-03 13:00:00+01:00,63.12,63.12,63.12,65.3
2019-01-03 14:00:00+01:00,63.67,63.67,63.67,64.92
2019-01-03 15:00:00+01:00,66.13,66.13,66.13,63.58
2019-01-03 16:00:00+01:00,68.41,68.41,68.41,72.4
2019-01-03 17:00:00+01:00,69.55,69.55,69.55,102.0
2019-01-03 18:00:00+01:00,65.67,65.67,65.67,134.6
2019-01-03 19:00:00+01:00,61.51,61.51,61.51,110.0
2019-01-03 20:00:00+01:00,56.04,56.04,56.04,80.07
2019-01-03 21:00:00+01:00,54.44,54.44,54.44,69.94
2019-01-03 22:00:00+01:00,52.09,52.09,52.09,63.3
2019-01-03 23:00:00+01:00,49.98,49.98,49.98,54.09
2019-01-04 00:00:00+01:00,49.98,49.98,49.98,57.47
2019-01-04 01:00:00+01:00,48.67,48.67,48.67,59.2
2019-01-04 02:00:00+01:00,47.71,47.71,47.71,59.47
2019-01-04 03:00:00+01:00,47.64,47.64,47.64,51.1
2019-01-04 04:00:00+01:00,47.43,47.43,47.43,51.02
2019-01-04 05:00:00+01:00,48.58,48.58,48.58,50.33
2019-01-04 06:00:00+01:00,50.87,50.87,50.87,55.5
2019-01-04 07:00:00+01:00,52.32,52.32,52.32,63.76
2019-01-04 08:00:00+01:00,54.44,54.44,54.44,65.07
2019-01-04 09:00:00+01:00,54.18,54.18,54.18,74.0
2019-01-04 10:00:00+01:00,53.9,53.9,53.9,79.59
2019-01-04 11:00:00+01:00,53.01,53.01,53.01,77.0
2019-01-04 12:00:00+01:00,51.74,51.74,51.74,64.94
2019-01-04 13:00:00+01:00,51.6,51.6,51.6,65.0
2019-01-04 14:00:00+01:00,51.41,51.41,51.41,65.0
2019-01-04 15:00:00+01:00,51.69,51.69,51.69,68.04
2019-01-04 16:00:00+01:00,52.59,52.59,52.59,70.84
2019-01-04 17:00:00+01:00,53.34,53.34,53.34,83.8
2019-01-04 18:00:00+01:00,52.81,52.81,52.81,91.1
2019-01-04 19:00:00+01:00,51.79,51.79,51.79,76.0
2019-01-04 20:00:00+01:00,51.04,51.04,51.04,75.3
2019-01-04 21:00:00+01:00,50.45,50.45,50.45,63.6
2019-01-04 22:00:00+01:00,49.79,49.79,49.79,63.57
2019-01-04 23:00:00+01:00,49.02,49.02,49.02,62.49
2019-01-05 00:00:00+01:00,48.42,48.42,48.42,66.03
2019-01-05 01:00:00+01:00,47.52,47.52,47.52,58.72
2019-01-05 02:00:00+01:00,47.19,47.19,47.19,57.1
2019-01-05 03:00:00+01:00,47.0,47.0,47.0,52.97
2019-01-05 04:00:00+01:00,47.01,47.01,47.01,52.05
2019-01-05 05:00:00+01:00,47.33,47.33,47.33,51.0
2019-01-05 06:00:00+01:00,47.59,47.59,47.59,50.76
2019-01-05 07:00:00+01:00,48.22,48.22,48.22,52.56
2019-01-05 08:00:00+01:00,49.99,49.99,49.99,56.0
2019-01-05 09:00:00+01:00,50.73,50.73,50.73,61.65
2019-01-05 10:00:00+01:00,50.93,50.93,50.93,63.68
2019-01-05 11:00:00+01:00,51.02,51.02,51.02,63.67
2019-01-05 12:00:00+01:00,51.36,51.36,51.36,71.98
2019-01-05 13:00:00+01:00,51.74,51.74,51.74,71.94
2019-01-05 14:00:00+01:00,51.92,51.92,51.92,69.0
2019-01-05 15:00:00+01:00,53.22,53.22,53.22,59.49
2019-01-05 16:00:00+01:00,55.26,55.26,55.26,56.18
2019-01-05 17:00:00+01:00,55.87,55.87,55.87,76.08
2019-01-05 18:00:00+01:00,55.26,55.26,55.26,84.99
2019-01-05 19:00:00+01:00,53.8,53.8,53.8,75.3
2019-01-05 20:00:00+01:00,52.75,52.75,52.75,67.5
2019-01-05 21:00:00+01:00,51.9,51.9,51.9,60.1
2019-01-05 22:00:00+01:00,51.13,51.13,51.13,60.58
2019-01-05 23:00:00+01:00,50.21,50.21,50.21,57.85
2019-01-06 00:00:00+01:00,50.29,50.29,50.29,56.0
2019-01-06 01:00:00+01:00,49.03,49.03,49.03,62.25
2019-01-06 02:00:00+01:00,48.81,48.81,48.81,55.96
2019-01-06 03:00:00+01:00,48.66,48.66,48.66,52.97
2019-01-06 04:00:00+01:00,47.82,47.82,47.82,52.65
2019-01-06 05:00:00+01:00,48.72,48.72,48.72,52.08
2019-01-06 06:00:00+01:00,49.38,49.38,49.38,52.08
2019-01-06 07:00:00+01:00,49.65,49.65,49.65,55.17
2019-01-06 08:00:00+01:00,50.44,50.44,50.44,46.79
2019-01-06 09:00:00+01:00,51.68,51.68,51.68,49.28
2019-01-06 10:00:00+01:00,52.35,52.35,52.35,55.99
2019-01-06 11:00:00+01:00,52.77,52.77,52.77,63.7
2019-01-06 12:00:00+01:00,52.86,52.86,52.86,68.0
2019-01-06 13:00:00+01:00,52.44,52.44,52.44,69.24
2019-01-06 14:00:00+01:00,51.52,51.52,51.52,75.09
2019-01-06 15:00:00+01:00,51.57,51.57,51.57,68.88
2019-01-06 16:00:00+01:00,53.28,53.28,53.28,60.2
2019-01-06 17:00:00+01:00,55.25,55.25,55.25,88.0
2019-01-06 18:00:00+01:00,54.25,54.25,54.25,112.0
2019-01-06 19:00:00+01:00,52.9,52.9,52.9,84.28
2019-01-06 20:00:00+01:00,51.95,51.95,51.95,75.3
2019-01-06 21:00:00+01:00,51.57,51.57,51.57,65.77
2019-01-06 22:00:00+01:00,50.71,50.71,50.71,59.8
2019-01-06 23:00:00+01:00,50.23,50.23,50.23,52.0
2019-01-07 00:00:00+01:00,48.62,48.62,48.62,60.59
2019-01-07 01:00:00+01:00,48.14,48.14,48.14,64.0
2019-01-07 02:00:00+01:00,48.16,48.16,48.16,54.77
2019-01-07 03:00:00+01:00,47.63,47.63,47.63,48.0
2019-01-07 04:00:00+01:00,48.09,48.09,48.09,42.52
2019-01-07 05:00:00+01:00,49.98,49.98,49.98,43.64
2019-01-07 06:00:00+01:00,52.74,52.74,52.74,48.77
2019-01-07 07:00:00+01:00,56.79,56.79,56.79,60.0
2019-01-07 08:00:00+01:00,57.94,57.94,57.94,64.84
2019-01-07 09:00:00+01:00,56.9,56.9,56.9,65.52
2019-01-07 10:00:00+01:00,56.28,56.28,56.28,67.44
2019-01-07 11:00:00+01:00,55.56,55.56,55.56,64.1
2019-01-07 12:00:00+01:00,55.14,55.14,55.14,61.21
2019-01-07 13:00:00+01:00,54.16,54.16,54.16,60.11
2019-01-07 14:00:00+01:00,53.73,53.73,53.73,57.74
2019-01-07 15:00:00+01:00,53.25,53.25,53.25,54.77
2019-01-07 16:00:00+01:00,53.26,53.26,53.26,54.8
2019-01-07 17:00:00+01:00,52.41,52.41,52.41,67.2
2019-01-07 18:00:00+01:00,51.2,51.2,51.2,73.0
2019-01-07 19:00:00+01:00,50.72,50.72,50.72,64.45
2019-01-07 20:00:00+01:00,50.6,50.6,50.6,70.03
2019-01-07 21:00:00+01:00,50.03,50.03,50.03,59.58
2019-01-07 22:00:00+01:00,49.11,49.11,49.11,57.09
2019-01-07 23:00:00+01:00,47.95,47.95,47.95,51.7
2019-01-08 00:00:00+01:00,47.37,47.37,47.37,49.47
2019-01-08 01:00:00+01:00,47.07,47.07,47.07,49.4
2019-01-08 02:00:00+01:00,46.3,46.3,46.3,48.0
2019-01-08 03:00:00+01:00,46.28,46.28,46.28,44.94
2019-01-08 04:00:00+01:00,46.7,46.7,46.7,41.98
2019-01-08 05:00:00+01:00,47.86,47.86,47.86,42.24
2019-01-08 06:00:00+01:00,50.08,50.08,50.08,49.93
2019-01-08 07:00:00+01:00,51.31,51.31,51.31,62.05
2019-01-08 08:00:00+01:00,51.7,51.7,51.7,61.74
2019-01-08 09:00:00+01:00,51.48,51.48,51.48,62.62
2019-01-08 10:00:00+01:00,51.48,51.48,51.48,66.0
2019-01-08 11:00:00+01:00,51.21,51.21,51.21,62.61
2019-01-08 12:00:00+01:00,50.88,50.88,50.88,62.43
2019-01-08 13:00:00+01:00,50.63,50.63,50.63,62.45
2019-01-08 14:00:00+01:00,50.7,50.7,50.7,60.16
2019-01-08 15:00:00+01:00,50.69,50.69,50.69,58.0
2019-01-08 16:00:00+01:00,51.15,51.15,51.15,55.12
2019-01-08 17:00:00+01:00,51.05,51.05,51.05,73.4
2019-01-08 18:00:00+01:00,50.62,50.62,50.62,81.6
2019-01-08 19:00:00+01:00,49.98,49.98,49.98,73.47
2019-01-08 20:00:00+01:00,49.71,49.71,49.71,74.4
2019-01-08 21:00:00+01:00,49.49,49.49,49.49,62.56
2019-01-08 22:00:00+01:00,49.03,49.03,49.03,58.8
2019-01-08 23:00:00+01:00,48.27,48.27,48.27,49.11
2019-01-09 00:00:00+01:00,46.92,46.92,46.92,48.53
2019-01-09 01:00:00+01:00,46.74,46.74,46.74,50.02
2019-01-09 02:00:00+01:00,46.54,46.54,46.54,53.0
2019-01-09 03:00:00+01:00,46.48,46.48,46.48,51.22
2019-01-09 04:00:00+01:00,46.37,46.37,46.37,49.2
2019-01-09 05:00:00+01:00,48.03,48.03,48.03,49.0
2019-01-09 06:00:00+01:00,49.46,49.46,49.46,51.7
2019-01-09 07:00:00+01:00,50.74,50.74,50.74,67.0
2019-01-09 08:00:00+01:00,50.98,50.98,50.98,61.67
2019-01-09 09:00:00+01:00,50.94,50.94,50.94,61.79
2019-01-09 10:00:00+01:00,51.02,51.02,51.02,63.07
2019-01-09 11:00:00+01:00,50.96,50.96,50.96,61.52
2019-01-09 12:00:00+01:00,50.76,50.76,50.76,59.66
2019-01-09 13:00:00+01:00,50.69,50.69,50.69,59.0
2019-01-09 14:00:00+01:00,50.88,50.88,50.88,57.7
2019-01-09 15:00:00+01:00,51.42,51.42,51.42,57.6
2019-01-09 16:00:00+01:00,53.69,53.69,53.69,59.53
2019-01-09 17:00:00+01:00,54.59,54.59,54.59,74.97
2019-01-09 18:00:00+01:00,54.19,54.19,54.19,80.0
2019-01-09 19:00:00+01:00,54.19,54.19,54.19,74.49
2019-01-09 20:00:00+01:00,52.98,52.98,52.98,70.0
2019-01-09 21:00:00+01:00,51.68,51.68,51.68,60.63
2019-01-09 22:00:00+01:00,50.96,50.96,50.96,57.33
2019-01-09 23:00:00+01:00,49.96,49.96,49.96,50.23
2019-01-10 00:00:00+01:00,50.51,50.51,50.51,53.93
2019-01-10 01:00:00+01:00,49.98,49.98,49.98,54.0
2019-01-10 02:00:00+01:00,49.55,49.55,49.55,52.93
2019-01-10 03:00:00+01:00,49.98,49.98,49.98,50.7
2019-01-10 04:00:00+01:00,49.94,49.94,49.94,50.7
2019-01-10 05:00:00+01:00,51.9,51.9,51.9,50.7
2019-01-10 06:00:00+01:00,56.61,56.61,56.61,55.42
2019-01-10 07:00:00+01:00,70.86,70.86,70.86,63.76
2019-01-10 08:00:00+01:00,79.23,79.23,79.23,71.29
2019-01-10 09:00:00+01:00,79.17,79.17,79.17,71.83
2019-01-10 10:00:00+01:00,78.55,78.55,78.55,71.27
2019-01-10 11:00:00+01:00,77.44,77.44,77.44,70.26
2019-01-10 12:00:00+01:00,69.66,69.66,69.66,67.09
2019-01-10 13:00:00+01:00,63.61,63.61,63.61,67.6
2019-01-10 14:00:00+01:00,59.94,59.94,59.94,66.8
2019-01-10 15:00:00+01:00,59.01,59.01,59.01,66.22
2019-01-10 16:00:00+01:00,59.57,59.57,59.57,69.8
2019-01-10 17:00:00+01:00,59.21,59.21,59.21,76.8
2019-01-10 18:00:00+01:00,56.38,56.38,56.38,78.37
2019-01-10 19:00:00+01:00,54.28,54.28,54.28,71.94
2019-01-10 20:00:00+01:00,52.78,52.78,52.78,70.02
2019-01-10 21:00:00+01:00,52.01,52.01,52.01,62.33
2019-01-10 22:00:00+01:00,50.48,50.48,50.48,60.3
2019-01-10 23:00:00+01:00,49.44,49.44,49.44,58.0
2019-01-11 00:00:00+01:00,47.84,47.84,47.84,56.24
2019-01-11 01:00:00+01:00,46.58,46.58,46.58,51.41
2019-01-11 02:00:00+01:00,46.93,46.93,46.93,49.98
2019-01-11 03:00:00+01:00,47.48,47.48,47.48,47.76
2019-01-11 04:00:00+01:00,46.49,46.49,46.49,47.36
2019-01-11 05:00:00+01:00,47.69,47.69,47.69,47.7
2019-01-11 06:00:00+01:00,50.06,50.06,50.06,51.44
2019-01-11 07:00:00+01:00,53.03,53.03,53.03,61.16
2019-01-11 08:00:00+01:00,54.25,54.25,54.25,65.03
2019-01-11 09:00:00+01:00,53.69,53.69,53.69,65.13
2019-01-11 10:00:00+01:00,53.63,53.63,53.63,65.42
2019-01-11 11:00:00+01:00,53.32,53.32,53.32,67.27
2019-01-11 12:00:00+01:00,51.89,51.89,51.89,63.57
2019-01-11 13:00:00+01:00,50.8,50.8,50.8,62.12
2019-01-11 14:00:00+01:00,49.33,49.33,49.33,62.86
2019-01-11 15:00:00+01:00,49.07,49.07,49.07,61.06
2019-01-11 16:00:00+01:00,49.54,49.54,49.54,59.6
2019-01-11 17:00:00+01:00,51.51,51.51,51.51,64.0
2019-01-11 18:00:00+01:00,50.44,50.44,50.44,71.68
2019-01-11 19:00:00+01:00,49.64,49.64,49.64,66.0
2019-01-11 20:00:00+01:00,49.53,49.53,49.53,63.95
2019-01-11 21:00:00+01:00,48.93,48.93,48.93,59.21
2019-01-11 22:00:00+01:00,47.99,47.99,47.99,58.24
2019-01-11 23:00:00+01:00,47.4,47.4,47.4,50.87
2019-01-12 00:00:00+01:00,48.35,48.35,48.35,63.03
2019-01-12 01:00:00+01:00,48.02,48.02,48.02,57.97
2019-01-12 02:00:00+01:00,48.09,48.09,48.09,61.1
2019-01-12 03:00:00+01:00,47.67,47.67,47.67,49.39
2019-01-12 04:00:00+01:00,47.8,47.8,47.8,43.09
2019-01-12 05:00:00+01:00,47.57,47.57,47.57,39.3
2019-01-12 06:00:00+01:00,47.7,47.7,47.7,39.74
2019-01-12 07:00:00+01:00,48.52,48.52,48.52,47.49
2019-01-12 08:00:00+01:00,48.74,48.74,48.74,50.75
2019-01-12 09:00:00+01:00,49.91,49.91,49.91,57.43
2019-01-12 10:00:00+01:00,50.3,50.3,50.3,60.53
2019-01-12 11:00:00+01:00,50.32,50.32,50.32,59.61
2019-01-12 12:00:00+01:00,50.32,50.32,50.32,58.15
