From,To,B,Cap,Length,Type,Distance,Cost
2,1,13.88888889,1000.0,1.0,Existing,160.0,0.0
1,4,8.196721311000001,625.0,1.0,Existing,289.0,0.0
1,4,8.196721311000001,625.0,1.0,Existing,289.0,0.0
1,6,8.849557522000001,812.5,1.0,Existing,271.0,0.0
6,1,8.849557522000001,912.5,1.0,Existing,271.0,0.0
1,9,11.11111111,875.0,1.0,Existing,180.0,0.0
1,9,11.11111111,937.5,1.0,Existing,180.0,0.0
1,11,15.87301587,1125.0,1.0,Existing,183.0,0.0
1,11,15.87301587,1125.0,1.0,Existing,183.0,0.0
1,11,15.87301587,1125.0,1.0,Existing,183.0,0.0
3,2,13.33333333,1062.5,1.0,Existing,108.0,0.0
2,6,12.34567901,1125.0,1.0,Existing,198.0,0.0
6,2,12.34567901,1125.0,1.0,Existing,198.0,0.0
3,6,9.259259259,875.0,1.0,Existing,211.0,0.0
4,10,27.77777778,1125.0,1.0,Existing,120.0,0.0
4,10,27.77777778,1125.0,1.0,Existing,120.0,0.0
4,10,27.77777778,1125.0,1.0,Existing,120.0,0.0
11,4,9.615384615,1000.0,1.0,Existing,217.0,0.0
6,5,8.547008547,937.5,1.0,Existing,192.0,0.0
8,5,15.87301587,812.5,1.0,Existing,177.0,0.0
9,5,25.0,1750.0,1.0,Existing,138.0,0.0
9,5,25.0,1750.0,1.0,Existing,138.0,0.0
5,9,25.0,1750.0,1.0,Existing,138.0,0.0
5,10,12.34567901,875.0,1.0,Existing,262.0,0.0
5,10,12.34567901,812.5,1.0,Existing,262.0,0.0
6,9,8.547008547,875.0,1.0,Existing,252.0,0.0
9,7,34.48275862,1250.0,1.0,Existing,121.0,0.0
9,7,34.48275862,1250.0,1.0,Existing,121.0,0.0
9,7,34.48275862,1250.0,1.0,Existing,121.0,0.0
7,10,22.22222222,1750.0,1.0,Existing,64.0,0.0
8,10,16.94915254,875.0,1.0,Existing,118.0,0.0
8,12,37.03703704,1312.5,1.0,Existing,90.0,0.0
8,12,37.03703704,1312.5,1.0,Existing,90.0,0.0
2,1,27.77777778,2000.0,144.0,New,160.0,23142.0
2,1,27.77777778,2000.0,144.0,New,160.0,23142.0
1,4,16.393442622000002,1250.0,243.0,New,289.0,39052.0
1,4,16.393442622000002,1250.0,243.0,New,289.0,39052.0
1,6,17.699115044000003,1625.0,225.0,New,271.0,36158.0
6,1,17.699115044000003,1625.0,225.0,New,271.0,36158.0
1,11,31.74603174,2250.0,126.0,New,183.0,20248.0
3,2,26.66666666,2125.0,150.0,New,108.0,24106.0
3,2,26.66666666,2125.0,150.0,New,108.0,24106.0
2,6,24.69135802,2250.0,162.0,New,198.0,26034.0
6,2,24.69135802,2250.0,162.0,New,198.0,26034.0
3,6,18.518518518,1750.0,216.0,New,211.0,34712.0
3,6,18.518518518,1750.0,216.0,New,211.0,34712.0
4,10,55.55555556,2250.0,72.0,New,120.0,11570.0
11,4,19.23076923,2000.0,207.0,New,217.0,33266.0
6,5,17.094017094,1875.0,234.0,New,192.0,37604.0
6,5,17.094017094,1875.0,234.0,New,192.0,37604.0
8,5,31.74603174,1625.0,126.0,New,177.0,20248.0
9,5,50.0,3500.0,81.0,New,138.0,13018.0
9,5,50.0,3500.0,81.0,New,138.0,13018.0
6,9,17.094017094,1750.0,234.0,New,252.0,37604.0
6,9,17.094017094,1750.0,234.0,New,252.0,37604.0
7,10,44.44444444,3500.0,90.0,New,64.0,14464.0
8,10,33.89830508,1750.0,117.0,New,118.0,18802.0
8,10,33.89830508,1750.0,117.0,New,118.0,18802.0
8,12,74.07407408,2625.0,108.0,New,90.0,17356.0
8,12,74.07407408,2625.0,108.0,New,90.0,17356.0
13,6,25.997151000000002,2250.0,173.0,New,135.0,27802.0
13,5,40.1098901,2250.0,112.2,New,120.0,18030.0
13,9,21.59763314,1750.0,208.3,New,244.0,33474.0
13,6,25.997151000000002,2250.0,173.0,New,135.0,27802.0
13,5,40.1098901,2250.0,112.2,New,120.0,18030.0
13,9,21.59763314,1750.0,208.3,New,244.0,33474.0
13,5,40.1098901,2250.0,112.2,New,120.0,18030.0
13,9,21.59763314,1750.0,208.3,New,244.0,33474.0
1,9,22.22222222,1875.0,180.0,New,180.0,28926.0
9,7,68.96551724,2500.0,121.0,New,121.0,19446.0
5,10,24.69135802,1750.0,262.0,New,262.0,42104.0
2,1,0.0,30000.0,1.0,H2,160.0,6228702.0
1,4,0.0,30000.0,1.0,H2,289.0,11250592.987499999
1,6,0.0,30000.0,1.0,H2,271.0,10549864.0125
6,1,0.0,30000.0,1.0,H2,271.0,10549864.0125
1,9,0.0,30000.0,1.0,H2,180.0,7007289.75
1,11,0.0,30000.0,1.0,H2,183.0,7124077.9125
3,2,0.0,30000.0,1.0,H2,108.0,4204373.85
2,6,0.0,30000.0,1.0,H2,198.0,7708018.725
6,2,0.0,30000.0,1.0,H2,198.0,7708018.725
3,6,0.0,30000.0,1.0,H2,211.0,8214100.7625
4,10,0.0,30000.0,1.0,H2,120.0,4671526.5
11,4,0.0,30000.0,1.0,H2,217.0,8447677.0875
6,5,0.0,30000.0,1.0,H2,192.0,7474442.399999999
8,5,0.0,30000.0,1.0,H2,177.0,6890501.587499999
9,5,0.0,30000.0,1.0,H2,138.0,5372255.475
5,9,0.0,30000.0,1.0,H2,138.0,5372255.475
5,10,0.0,30000.0,1.0,H2,262.0,10199499.525
6,9,0.0,30000.0,1.0,H2,252.0,9810205.65
9,7,0.0,30000.0,1.0,H2,121.0,4710455.8875
7,10,0.0,30000.0,1.0,H2,64.0,2491480.8
8,10,0.0,30000.0,1.0,H2,118.0,4593667.725
8,12,0.0,30000.0,1.0,H2,90.0,3503644.875
13,6,0.0,30000.0,173.0,H2,135.0,5255467.3125
13,5,0.0,30000.0,112.2,H2,120.0,4671526.5
13,9,0.0,30000.0,208.3,H2,244.0,9498770.549999999
