From,To,Type,Cap,B,Cost
1,2,Existing,4000.0,13.88888889,0.0
1,2,H2,90000.0,0.0,4962223124.999999
1,2,New,15000.0,27.77777778,41871250.0
1,4,Existing,1250.0,16.393442622000002,0.0
1,4,H2,90000.0,0.0,13086002658.515623
1,4,New,15000.0,16.393442622000002,98920500.0
1,6,Existing,3225.0,17.699115044000003,0.0
1,6,H2,180000.0,0.0,30257155504.6875
1,6,New,15000.0,17.699115044000003,117760500.0
1,9,Existing,1812.5,22.22222222,0.0
1,9,H2,90000.0,0.0,36286256601.5625
1,9,New,15000.0,11.11111111,47104875.0
1,11,Existing,3375.0,47.619047609999996,0.0
1,11,H2,90000.0,0.0,7945759778.90625
1,11,New,15000.0,15.87301587,32973750.0
2,3,Existing,4062.5,13.33333333,0.0
2,3,H2,90000.0,0.0,6029101096.875
2,3,New,15000.0,26.66666666,69784000.0
2,6,Existing,2250.0,24.69135802,0.0
2,6,H2,180000.0,0.0,15965952904.6875
2,6,New,15000.0,24.69135802,131894000.0
3,6,Existing,875.0,9.259259259,0.0
3,6,H2,90000.0,0.0,18323008889.0625
3,6,New,15000.0,18.518518518,87928750.0
4,10,Existing,3375.0,83.33333334,0.0
4,10,H2,90000.0,0.0,23074337531.249996
4,10,New,15000.0,27.77777778,20935000.0
4,11,Existing,1000.0,9.615384615,0.0
4,11,H2,90000.0,0.0,13460030226.562498
4,11,New,15000.0,9.615384615,84264250.0
5,6,Existing,2437.5,8.547008547,0.0
5,6,H2,90000.0,0.0,12504802274.999998
5,6,New,15000.0,17.094017094,142884000.0
5,8,Existing,812.5,15.87301587,0.0
5,8,H2,90000.0,0.0,8783134931.249998
5,8,New,15000.0,15.87301587,29310000.0
5,9,Existing,5250.0,75.0,0.0
5,9,H2,180000.0,0.0,8559834890.625
5,9,New,15000.0,50.0,30618250.0
5,10,Existing,1687.5,24.69135802,0.0
5,10,H2,90000.0,0.0,14626152660.937498
5,10,New,15000.0,12.34567901,64754062.5
5,13,H2,90000.0,0.0,6326834484.374999
5,13,New,15000.0,60.16483515,88084125.0
6,9,Existing,3875.0,8.547008547,0.0
6,9,H2,90000.0,0.0,10941701990.624998
6,9,New,15000.0,17.094017094,95256000.0
6,13,H2,90000.0,0.0,7536376371.093749
6,13,New,15000.0,25.997151000000002,80484000.0
7,9,Existing,3750.0,103.44827586,0.0
7,9,H2,90000.0,0.0,5629021857.421874
7,9,New,15000.0,34.48275862,22868625.0
7,10,Existing,1750.0,22.22222222,0.0
7,10,H2,90000.0,0.0,5557689900.0
7,10,New,15000.0,22.22222222,18318125.0
8,10,Existing,875.0,16.94915254,0.0
8,10,H2,90000.0,0.0,10246990753.125
8,10,New,15000.0,33.89830508,47628000.0
8,12,Existing,2625.0,74.07407408,0.0
8,12,H2,90000.0,0.0,5861626066.40625
8,12,New,15000.0,74.07407408,65945250.0
9,13,Existing,1500.0,10.79881657,0.0
9,13,H2,90000.0,0.0,13621302478.124998
9,13,New,15000.0,32.39644971,127191750.0
