From,To,Type,Cap,B,Cost
1,2,Existing,4000.0,13.88888889,0.0
1,2,H2,300000.0,0.0,17742630.0
1,2,New,5000.0,27.77777778,343440000.0
1,2,New,5000.0,27.77777778,457920000.0
1,4,Existing,1250.0,16.393442622000002,0.0
1,4,H2,300000.0,0.0,32047625.4375
1,4,New,5000.0,16.393442622000002,620340000.0
1,4,New,5000.0,16.393442622000002,827120000.0
1,6,Existing,3225.0,17.699115044000003,0.0
1,6,H2,300000.0,0.0,30051579.5625
1,6,New,5000.0,17.699115044000003,581700000.0
1,6,New,5000.0,17.699115044000003,775610000.0
1,9,Existing,1812.5,22.22222222,0.0
1,9,H2,300000.0,0.0,19960458.75
1,9,New,5000.0,11.11111111,193185000.0
1,9,New,5000.0,11.11111111,257580000.0
1,11,Existing,3375.0,47.619047609999996,0.0
1,11,H2,300000.0,0.0,20293133.0625
1,11,New,5000.0,15.87301587,196405000.0
1,11,New,5000.0,15.87301587,261875000.0
2,3,Existing,4062.5,13.33333333,0.0
2,3,H2,300000.0,0.0,11976275.25
2,3,New,5000.0,26.66666666,231820000.0
2,3,New,5000.0,26.66666666,309100000.0
2,6,Existing,2250.0,24.69135802,0.0
2,6,H2,300000.0,0.0,21956504.625
2,6,New,5000.0,24.69135802,425010000.0
2,6,New,5000.0,24.69135802,566680000.0
3,6,Existing,875.0,9.259259259,0.0
3,6,H2,300000.0,0.0,23398093.3125
3,6,New,5000.0,18.518518518,452910000.0
3,6,New,5000.0,18.518518518,603890000.0
4,10,Existing,3375.0,83.33333334,0.0
4,10,H2,300000.0,0.0,13306972.5
4,10,New,5000.0,27.77777778,128790000.0
4,10,New,5000.0,27.77777778,171720000.0
4,11,Existing,1000.0,9.615384615,0.0
4,11,H2,300000.0,0.0,24063441.9375
4,11,New,5000.0,9.615384615,232895000.0
4,11,New,5000.0,9.615384615,310530000.0
5,6,Existing,2437.5,8.547008547,0.0
5,6,H2,300000.0,0.0,21291156.0
5,6,New,5000.0,17.094017094,412130000.0
5,6,New,5000.0,17.094017094,549510000.0
5,8,Existing,812.5,15.87301587,0.0
5,8,H2,300000.0,0.0,19627784.4375
5,8,New,5000.0,15.87301587,189965000.0
5,8,New,5000.0,15.87301587,253290000.0
5,9,Existing,5250.0,75.0,0.0
5,9,H2,300000.0,0.0,15303018.375
5,9,New,5000.0,50.0,296220000.0
5,9,New,5000.0,50.0,394960000.0
5,10,Existing,1687.5,24.69135802,0.0
5,10,H2,300000.0,0.0,29053556.625
5,10,New,5000.0,12.34567901,281195000.0
5,10,New,5000.0,12.34567901,374925000.0
5,13,H2,300000.0,0.0,13306972.5
5,13,New,5000.0,60.16483515,386370000.0
5,13,New,5000.0,60.16483515,515160000.0
6,9,Existing,3875.0,8.547008547,0.0
6,9,H2,300000.0,0.0,27944642.25
6,9,New,5000.0,17.094017094,540920000.0
6,9,New,5000.0,17.094017094,721230000.0
6,13,H2,300000.0,0.0,14970344.0625
6,13,New,5000.0,25.997151000000002,289780000.0
6,13,New,5000.0,25.997151000000002,386370000.0
7,9,Existing,3750.0,103.44827586,0.0
7,9,H2,300000.0,0.0,13417863.9375
7,9,New,5000.0,34.48275862,129865000.0
7,9,New,5000.0,34.48275862,173150000.0
7,10,Existing,1750.0,22.22222222,0.0
7,10,H2,300000.0,0.0,7097052.0
7,10,New,5000.0,22.22222222,68690000.0
7,10,New,5000.0,22.22222222,91585000.0
8,10,Existing,875.0,16.94915254,0.0
8,10,H2,300000.0,0.0,13085189.625
8,10,New,5000.0,33.89830508,253290000.0
8,10,New,5000.0,33.89830508,337720000.0
8,12,Existing,2625.0,74.07407408,0.0
8,12,H2,300000.0,0.0,9980229.375
8,12,New,5000.0,74.07407408,193190000.0
8,12,New,5000.0,74.07407408,257580000.0
9,13,Existing,1500.0,10.79881657,0.0
9,13,H2,300000.0,0.0,27057510.75
9,13,New,5000.0,32.39644971,785625000.0
9,13,New,5000.0,32.39644971,1047495000.0
