Type, Inv ($/pu-year), Fix ($/pu-year),Var ($/eu), Fuel (in eu/out eu), Emission (kg/eu), CCS rate (kg/eu), Typical Plant Size (pu), Min Gen (pu),Ramp (%/h), Start [$/pu], Class
Onshore Wind, 75030,33000,0,0,0,0,100,0,1,0,RE
Solar,50690,8000,0,0,0,0,50,0,1,0,RE
CT Gas,51480,12000,7,9.08,481.6,0,240,0,1,19,TH
CC Gas,51480,11000,3,6.28,333,0,1100,0,0.252,35,TH
CCS Gas,111070,34000,7,7.49,39.8,358.2,340,0,0.252,35,TH
Coal,228120,33000,24.1,0,834.7,0,650,260,0.1584,29,TH
CCS Coal,328240,80000,30.2,0,88.4,795.6,650,325,0.1584,29,TH
Nuclear,352400,101000,9.6,0,0,0,2200,2200,0.156,97,TH
Biomass,231920,112000,46.9,0,0,0,85,34,0.32,0,TH
Offshore Wind,122220,34000,0,0,0,0,200,0,1,0,RE
SMR,989,39,0.024,0.156,9.27,0,15800,14200,0.252,0,H2
SMR CCS,2264,70,0.129,0.156,0.93,8.34,15800,14200,0.252,0,H2
PEMEL,1725,121,0.01,0.0502,0,0,2000,0,1,0,H2
CC H2,84011,13070,2.78,50.05,0,0,1100,0,0.252,0,H2TH
CT H2,55713,5989,8.83,75.08,0,0,240,0,1,0,H2TH
PEMFC,162314,0,8.85,58.88,0,0,50,0,1,0,H2TH
SOFC,263782,2360,0,42.90,0,0,50,0,1,0,H2TH
